#name	value	
D00174	32103_at	
BC018126	1382_at	
BC018126	38481_at	
U34880	38477_at	
AF321876	38477_at	
BC041170	38477_at	
NM_006497	34626_at	
AK023169	40983_s_at	
AL834378	40983_s_at	
AB007857	36129_at	
BC039204	36129_at	
AK124883	36129_at	
AK125203	36129_at	
L13385	32569_at	
L13385	37317_at	
AK124640	37517_at	
AB028962	37517_at	
AK127021	37517_at	
BC029128	39654_at	
BC010941	39654_at	
BC032850	36566_at	
AJ222967	36566_at	
BC007427	33283_at	
AF027204	38607_at	
BC000835	941_at	
BT009809	941_at	
BC015033	41394_at	
AY178289	41394_at	
BC034673	39833_at	
AF218033	39833_at	
BC027955	33063_at	
J02940	33063_at	
AK025329	35840_at	
AL834284	35840_at	
AL050060	35840_at	
AL079315	35840_at	
BC017249	39084_at	
AL359213	39084_at	
AB014606	31796_at	
AB014606	35941_f_at	
X63546	1613_s_at	
X63546	31526_f_at	
X63546	1614_s_at	
X63546	34677_f_at	
X63547	1613_s_at	
X63547	31526_f_at	
X63547	1614_s_at	
X63547	34677_f_at	
AY143550	1613_s_at	
AY143550	31526_f_at	
AY143550	1614_s_at	
AY143550	34677_f_at	
BC029495	1613_s_at	
BC029495	31526_f_at	
BC041700	32741_at	
BC041700	32742_s_at	
BC014025	32741_at	
BC014025	32742_s_at	
AF098638	32741_at	
AF098638	32742_s_at	
BC009975	32110_at	
AB011095	32110_at	
BX649188	35583_at	
BC032776	35583_at	
X99699	35583_at	
M35418	35124_at	
S68588	35124_at	
AF143883	35124_at	
BC000399	38376_at	
M20747	37076_at	
AY129319	39335_at	
AY129319	847_at	
BC030160	39335_at	
BC030160	847_at	
AY129322	39335_at	
AY129322	847_at	
BC018543	37411_at	
BT009788	37411_at	
U43408	1522_at	
U43408	1523_g_at	
U43408	38922_at	
BC035782	1522_at	
BC035782	1523_g_at	
BC035782	38922_at	
BC011371	35027_at	
X63564	40791_at	
M21610	40791_at	
BC019047	39588_at	
AY358870	39588_at	
AY081051	35287_at	
AY081051	39588_at	
AY081050	35287_at	
AF114012	35287_at	
AY377858	35287_at	
AY008763	41633_at	
BC048306	41633_at	
AK000923	41633_at	
BC009585	1199_at	
BC009585	36234_at	
BC006380	1199_at	
BC006380	36234_at	
BC015557	33391_r_at	
BT009923	33391_r_at	
AF059752	33391_r_at	
AF059752	35791_at	
AF038961	33391_r_at	
AF038961	35791_at	
AK027742	33391_r_at	
AK027742	35791_at	
AK055923	33391_r_at	
AK055923	35791_at	
AF258568	35791_at	
X05403	36328_at	
M81181	34118_at	
M81181	37270_at	
U66406	469_at	
AB002344	41386_i_at	
AB002344	41387_r_at	
BC009994	41386_i_at	
BC009994	41387_r_at	
AF006515	34707_at	
U91543	34707_at	
M92432	31977_at	
U78294	37430_at	
AF468052	37430_at	
AB002359	37143_s_at	
BC006522	37143_s_at	
BC009318	37143_s_at	
AK023853	38235_at	
BC036749	38235_at	
AF217798	34413_at	
AL832648	34413_at	
AK123802	34413_at	
AJ404468	34630_s_at	
AJ404468	36443_at	
AB002355	34630_s_at	
AB002355	36443_at	
X99947	34630_s_at	
X99947	36443_at	
AF015265	34630_s_at	
AF015265	36443_at	
L36870	1712_s_at	
L36870	1845_at	
L36870	36910_at	
AB014572	36556_at	
AY320403	36556_at	
AL096728	36556_at	
AK023797	36556_at	
BC022452	36556_at	
BC000060	37224_at	
BT006985	37224_at	
BC025722	36324_at	
AB017165	34496_at	
BC000379	1323_at	
BC000379	32153_s_at	
AK125971	35535_f_at	
AB011137	35535_f_at	
AY363305	31526_f_at	
AY363305	34677_f_at	
AB098507	38730_at	
AB098507	38731_at	
AY296247	38730_at	
AY296247	38731_at	
AL834513	38730_at	
AL834513	38731_at	
BC009982	38730_at	
BC009982	38731_at	
AK092287	38730_at	
AK092287	38731_at	
AB020671	38730_at	
AB020671	38731_at	
AK026247	38730_at	
AK026247	38731_at	
BC012426	38730_at	
BC012426	38731_at	
BC047873	35427_at	
BC047873	35428_g_at	
BC047873	35429_at	
AL136926	35427_at	
AL136926	35428_g_at	
AL136926	35429_at	
BC040276	35429_at	
BC000493	37664_at	
BT006976	37664_at	
X86371	33200_at	
X86371	804_s_at	
D50550	33200_at	
D50550	804_s_at	
BC051466	33200_at	
BC051466	804_s_at	
AB007851	41853_at	
AK126398	41853_at	
AK024115	36121_at	
AB028988	36121_at	
AF062084	36121_at	
AF062085	36121_at	
U25278	35617_at	
U46689	40409_at	
BC032478	1622_at	
BC032478	2075_s_at	
L36069	34537_at	
AF005214	34537_at	
AL110269	40928_at	
BC021110	40928_at	
AF106684	40928_at	
U43586	1716_at	
BC042106	1716_at	
AB006782	38091_at	
AB006782	766_at	
L19183	32791_at	
BC045655	32791_at	
M80783	36988_at	
AY444166	41707_at	
AJ290445	41707_at	
U26209	31559_at	
Y11739	31980_at	
U46691	41659_at	
BC033074	41659_at	
BC003696	41659_at	
U38658	41659_at	
BC017105	41659_at	
BC003692	41659_at	
BC058041	32341_f_at	
BC001769	37912_at	
AB049388	34379_at	
AY007435	34379_at	
AF082657	34379_at	
U59058	36325_at	
U65090	34876_at	
BC012620	40725_at	
AF073926	40725_at	
M82814	1236_s_at	
M82814	38289_r_at	
M82814	739_at	
M82814	940_g_at	
M82814	961_at	
D42072	1236_s_at	
D42072	38289_r_at	
D42072	739_at	
D42072	940_g_at	
D42072	961_at	
BX537850	1236_s_at	
BX537850	38289_r_at	
BX537850	739_at	
BX537850	940_g_at	
BX537850	961_at	
D63881	40957_at	
AF046001	35368_at	
BT007365	35368_at	
AL834501	35368_at	
BC000437	1191_s_at	
BC020580	36273_at	
BC020580	799_at	
BC020580	800_g_at	
BC009716	34375_at	
BC009716	874_at	
BC009716	875_g_at	
BT007329	34375_at	
BT007329	874_at	
BT007329	875_g_at	
NM_006273	39802_at	
X72308	39802_at	
D49372	40008_at	
Y16645	37823_at	
BC008621	37454_at	
BT007385	37454_at	
Z77651	37454_at	
X84740	1187_at	
X84740	1188_g_at	
X84740	41099_at	
BC009026	1187_at	
BC009026	1188_g_at	
BC009026	41099_at	
AK125853	1187_at	
AK125853	1188_g_at	
AK125853	41099_at	
M34175	36161_at	
AY341427	36161_at	
BC006201	36161_at	
BC012150	36161_at	
U51334	36822_at	
BC046099	36822_at	
AJ243810	36822_at	
Y13710	32128_at	
J04130	36674_at	
BC027961	36674_at	
BC017931	41251_at	
L40410	41251_at	
U14755	35388_at	
AF083208	32117_at	
BC000591	32117_at	
AF161395	32117_at	
BC011753	37789_at	
BC001172	37789_at	
BC001894	38272_at	
AB005216	37128_at	
BC013008	1309_at	
BC007560	36181_at	
X82456	36181_at	
BX537435	32435_at	
BC013016	32435_at	
AY157980	32435_at	
AB020711	37772_at	
BC008747	37355_at	
BT006964	37355_at	
AL831952	37355_at	
BC012628	39002_at	
BC037246	32352_at	
X03363	1802_s_at	
X03363	1901_s_at	
X03363	33218_at	
AF177761	1802_s_at	
AF177761	33218_at	
D43772	1680_at	
AB008790	1680_at	
BT006686	1680_at	
AK094206	39155_at	
AK055799	39155_at	
BC020518	39155_at	
BT007217	39155_at	
AF091075	39155_at	
X03438	1334_s_at	
BC033245	1334_s_at	
BC035137	1316_at	
BC035137	35846_at	
BC035137	616_s_at	
BC006571	1316_at	
BC006571	35846_at	
BC006571	616_s_at	
BC044656	38437_at	
AB043786	40787_at	
BC025232	1536_at	
BC025232	36839_at	
X06614	1337_s_at	
M73779	1337_s_at	
BC016041	1737_s_at	
BC016041	39781_at	
BC005118	40203_at	
BT006645	40203_at	
V00511	34552_at	
BC028040	344_s_at	
BC028040	39768_at	
BC028040	39769_at	
BC028040	612_s_at	
AK124861	41799_at	
AK124861	344_s_at	
AK124861	39768_at	
U43185	40458_at	
U43185	506_s_at	
Z71460	39326_at	
BC032398	39326_at	
AK125927	39326_at	
U18920	39326_at	
BC053991	41596_s_at	
X13440	33141_at	
AK075415	36126_at	
AK075415	36127_g_at	
AF213668	32578_at	
BT009812	32578_at	
BC027975	38177_at	
BX640801	39796_at	
U11292	39796_at	
D88213	35593_at	
BC050549	31626_i_at	
BC050549	31627_f_at	
BC050549	33756_at	
AF054985	33756_at	
U01120	36241_r_at	
BC001700	39830_at	
BC021886	39830_at	
BC001356	464_s_at	
BC001356	626_s_at	
AF498968	41082_at	
AF498968	644_at	
BC018096	41082_at	
BC018096	644_at	
U88573	35383_at	
BC034248	35383_at	
D30756	33444_at	
U25771	41774_at	
D50487	744_at	
BC047327	744_at	
AL133657	36823_at	
BC006194	36823_at	
BX537443	36823_at	
AY124489	41198_at	
BC010577	41198_at	
BT006844	41198_at	
AK023348	41198_at	
BC052266	36799_at	
BC052266	628_at	
AB017364	36799_at	
AB017364	628_at	
AB009675	33941_at	
Y17208	38999_s_at	
Y17208	39000_at	
BC006569	38999_s_at	
BC006569	39000_at	
BC008579	38999_s_at	
BC008579	39000_at	
BC008312	38999_s_at	
BC008312	39000_at	
AB021179	40220_at	
AY278319	37100_at	
AF432213	37100_at	
AK131091	37100_at	
BC021906	37100_at	
BC001710	37100_at	
BC009000	37100_at	
X72304	40650_r_at	
X72304	40651_s_at	
AF369651	40650_r_at	
AF369651	40651_s_at	
AF374231	40650_r_at	
AF374231	40651_s_at	
AF369652	40650_r_at	
AF369652	40651_s_at	
AF369653	40650_r_at	
AF369653	40651_s_at	
BC000558	113_i_at	
BC000558	114_r_at	
BC000558	310_s_at	
BC000558	38629_at	
BT006772	113_i_at	
BT006772	114_r_at	
BT006772	310_s_at	
BT006772	38629_at	
AK055986	38629_at	
AB011135	38915_at	
BC040501	38915_at	
AF135168	38719_at	
BC013314	38719_at	
U80997	38719_at	
BC009710	38620_at	
BC034762	38620_at	
X52005	31421_at	
X52005	40062_s_at	
M20641	31421_at	
M20641	40062_s_at	
M35999	37952_at	
M35999	852_at	
S70348	37952_at	
S70348	852_at	
AJ132583	39431_at	
L38951	41196_at	
BT009797	41196_at	
AB018318	41035_at	
BC005914	37212_at	
D28588	37212_at	
AK090459	38439_at	
X77366	38439_at	
BC004130	40063_at	
BC004963	38076_at	
BT007230	38076_at	
BC050309	1673_at	
AL834282	31988_at	
AY358526	31988_at	
AB032985	31988_at	
BC032640	34231_at	
BC016145	38535_at	
U73328	38535_at	
M59911	884_at	
M59911	885_g_at	
BC043917	884_at	
BC043917	885_g_at	
BC040478	38844_at	
BC040478	38845_at	
BC025702	38609_at	
AF134986	31973_at	
BC046126	38261_at	
AF085692	1930_at	
AF085692	38261_at	
BC050370	38261_at	
AB034205	34397_at	
AF069250	34397_at	
AF487339	1521_at	
AF487339	1985_s_at	
AF487339	39073_at	
BC000293	1521_at	
BC000293	1985_s_at	
BC000293	39073_at	
BC002476	1980_s_at	
BC002476	33415_at	
BT007045	1980_s_at	
BT007045	33415_at	
AF151806	41824_at	
AJ010071	40229_at	
BC029396	40229_at	
